,video,frame,Risk_Obj_feature,Risk_Obj_No
0,000353,0,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 643.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 692.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
1,000353,1,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 640.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 689.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
2,000353,2,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 640.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 689.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
3,000353,3,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 636.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 685.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
4,000353,4,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 636.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 685.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
5,000353,5,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 636.0, ""1"": 680.0}, ""y1"": {""0"": 359.0, ""1"": 396.0}, ""x2"": {""0"": 682.0, ""1"": 704.0}, ""y2"": {""0"": 424.0, ""1"": 421.0}}",2
6,000353,6,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 631.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 677.0, ""1"": 699.0}, ""y2"": {""0"": 424.0, ""1"": 418.0}}",2
7,000353,7,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 631.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 677.0, ""1"": 699.0}, ""y2"": {""0"": 424.0, ""1"": 418.0}}",2
8,000353,8,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 631.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 670.0, ""1"": 699.0}, ""y2"": {""0"": 425.0, ""1"": 418.0}}",2
9,000353,9,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 631.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 670.0, ""1"": 699.0}, ""y2"": {""0"": 425.0, ""1"": 418.0}}",2
10,000353,10,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 622.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 670.0, ""1"": 699.0}, ""y2"": {""0"": 432.0, ""1"": 418.0}}",2
11,000353,11,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 622.0, ""1"": 675.0}, ""y1"": {""0"": 359.0, ""1"": 393.0}, ""x2"": {""0"": 670.0, ""1"": 699.0}, ""y2"": {""0"": 432.0, ""1"": 418.0}}",2
12,000353,12,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 622.0, ""1"": 665.0}, ""y1"": {""0"": 359.0, ""1"": 395.0}, ""x2"": {""0"": 670.0, ""1"": 689.0}, ""y2"": {""0"": 432.0, ""1"": 420.0}}",2
13,000353,13,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 619.0, ""1"": 665.0}, ""y1"": {""0"": 362.0, ""1"": 400.0}, ""x2"": {""0"": 667.0, ""1"": 689.0}, ""y2"": {""0"": 435.0, ""1"": 425.0}}",2
14,000353,14,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 616.0, ""1"": 665.0}, ""y1"": {""0"": 357.0, ""1"": 400.0}, ""x2"": {""0"": 664.0, ""1"": 689.0}, ""y2"": {""0"": 430.0, ""1"": 425.0}}",2
15,000353,15,"{""region_id"": {""0"": 0, ""1"": 1}, ""x1"": {""0"": 612.0, ""1"": 656.0}, ""y1"": {""0"": 358.0, ""1"": 398.0}, ""x2"": {""0"": 660.0, ""1"": 689.0}, ""y2"": {""0"": 431.0, ""1"": 425.0}}",2
